index, prediction
0,10 gram
1,5.0 gram
2,5.0 gram
3,30 centimetre
4,10 gram
5,10 gram
6,10 gram
7,10 gram
8,10 gram
9,19.6 inch
10,19.6 inch
11,10 gram
12,10 gram
13,365 millimetre
14,365 millimetre
15,11.7 centimetre
16,120.0 centimetre
17,120.0 centimetre
18,475.0 centimetre
19,10 gram
20,23.7 centimetre
21,10 gram
22,50.0 centimetre
23,10 gram
24,10 gram
25,10 gram
26,10 gram
27,10 gram
28,10 gram
29,48 centimetre
30,48 centimetre
31,10.63 centimetre
32,10 gram
33,5 inch
34,5 inch
35,75 centimetre
36,38 centimetre
37,38 centimetre
38,13 centimetre
39,13 centimetre
40,13 centimetre
41,71.1 millimetre
42,71.1 millimetre
43,3.7 centimetre
44,3.7 centimetre
45,10 gram
46,10 gram
47,10 gram
48,2.76 centimetre
49,10 gram
50,110 millimetre
51,170 centimetre
52,10 gram
53,10 gram
54,10 gram
55,30 centimetre
56,30 centimetre
57,10 gram
58,5.0 centimetre
59,5.0 centimetre
60,10 gram
61,10 gram
62,10 gram
63,1200 metre
64,1200 metre
65,40 millimetre
66,40 millimetre
67,40 millimetre
68,10 gram
69,10 gram
70,194 millimetre
71,194 millimetre
72,28 centimetre
73,28 centimetre
74,28 centimetre
75,1.77 inch
76,1.77 inch
77,6.2 centimetre
78,6.2 centimetre
79,9 centimetre
80,9 centimetre
81,7 inch
82,32.5 centimetre
83,10 gram
84,413.0 centimetre
85,413.0 centimetre
86,179.0 centimetre
87,10 gram
88,10 gram
89,10 gram
90,48 centimetre
91,10 gram
92,10 gram
93,19.0 centimetre
94,19.0 centimetre
95,10 gram
96,10 gram
97,10 gram
98,10 gram
99,10 gram
100,10 gram
101,12 centimetre
102,22 centimetre
103,10 gram
104,10 gram
105,10 gram
106,24 centimetre
107,24 centimetre
108,5.5 inch
109,5.5 inch
110,10 gram
111,286.0 millimetre
112,20.8 centimetre
113,10 gram
114,25 centimetre
115,25 centimetre
116,25 centimetre
117,10 gram
118,10 gram
119,10 gram
120,40.0 millimetre
121,75 centimetre
122,75 centimetre
123,22 centimetre
124,22 centimetre
125,10 gram
126,12 inch
127,12 inch
128,12.5 centimetre
129,1.65 inch
130,1.65 inch
131,5.2 centimetre
132,10 gram
133,10 gram
134,10 gram
135,10 gram
136,10 gram
137,46 centimetre
138,20 centimetre
139,10 gram
140,10 gram
141,6.3 inch
142,6.3 inch
143,6.3 inch
144,16 inch
145,16 inch
146,10 gram
147,10 gram
148,10 gram
149,8 centimetre
150,8 centimetre
151,10 gram
152,78.7 inch
153,18 centimetre
154,18 centimetre
155,120 centimetre
156,120 centimetre
157,6.0 centimetre
158,6.0 centimetre
159,152.4 centimetre
160,300 centimetre
161,300 centimetre
162,29 inch
163,10 gram
164,138 centimetre
165,10 gram
166,210.0 millimetre
167,10 gram
168,10 gram
169,10 gram
170,10 gram
171,136 centimetre
172,10 gram
173,10 gram
174,10 gram
175,10 gram
176,31.5 centimetre
177,31.5 centimetre
178,10 gram
179,10 gram
180,10 gram
181,6.8 centimetre
182,6.8 centimetre
183,10 gram
184,10 gram
185,10 gram
186,86.7 millimetre
187,10 gram
188,10 gram
189,10 gram
190,81.0 centimetre
191,81.0 centimetre
192,9.0 foot
193,10 gram
194,10 gram
195,10 gram
196,10 gram
197,48 centimetre
198,10 gram
