index, prediction
0,10 gram
1,200 centimetre
2,200 centimetre
3,200 centimetre
4,90 centimetre
5,90 centimetre
6,90 centimetre
7,10 gram
8,40 centimetre
9,40 centimetre
10,10 gram
11,10 gram
12,10 gram
13,10 gram
14,10 gram
15,10 gram
16,10 gram
17,10 gram
18,10 gram
19,10 gram
20,10 gram
21,10 gram
22,10 gram
23,10 gram
24,10 gram
25,10 gram
26,10 gram
27,10 gram
28,10 gram
29,10 gram
30,10 gram
31,10 gram
32,10 gram
33,10 gram
34,10 gram
35,10 gram
36,1943 centimetre
37,10 gram
38,10 gram
39,20.0 metre
40,20.0 metre
41,10 gram
42,10 gram
43,10 gram
44,10 gram
45,14 centimetre
46,14 centimetre
47,14 centimetre
48,0 metre
49,0 metre
50,0 metre
51,10 gram
52,10 gram
53,10 gram
54,10 gram
55,187.96 centimetre
56,10 gram
57,20.0 metre
58,20.0 metre
59,10 gram
60,10 gram
61,10 gram
62,280 millimetre
63,280 millimetre
64,280 millimetre
65,10 gram
66,10 gram
67,10 gram
68,10 gram
69,10 gram
70,10 gram
71,10 gram
72,10 gram
73,10 gram
74,10 gram
75,10 gram
76,4.7 centimetre
77,4.7 centimetre
78,10 gram
79,120.0 centimetre
80,10 gram
81,10 gram
82,11.11 kilogram
83,10 gram
84,10 gram
85,10 gram
86,10 gram
87,10 gram
88,10 gram
89,10 gram
90,60 centimetre
91,10 gram
92,10 gram
93,10 gram
94,10 gram
95,14 centimetre
96,14 centimetre
97,10 gram
98,10 gram
99,38.0 centimetre
100,10 gram
101,10 gram
102,10 gram
103,90 centimetre
104,69 centimetre
105,7.0 centimetre
106,7.0 centimetre
107,10 gram
108,10 gram
109,10 gram
110,10 gram
111,10 gram
112,10 gram
113,10 gram
114,10 gram
115,10 gram
116,10 gram
117,10 gram
118,45 centimetre
119,45 centimetre
120,10 gram
121,10 gram
122,10 gram
123,10 gram
124,10 gram
125,10 gram
126,10 gram
127,191 centimetre
128,10 gram
129,10 gram
130,40 centimetre
131,256.0 centimetre
132,256.0 centimetre
133,256.0 centimetre
134,10 gram
135,20.0 centimetre
136,20.0 centimetre
137,10 gram
138,2995 centimetre
139,100 millimetre
140,100 millimetre
141,14 centimetre
142,2.0 inch
